"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"322.722";"70,37";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"112.918";"27,88";"3";
"";"DECARO PRESIDENTE";"";"70.194";"17,33";"1";
"";"MOVIMENTO 5 STELLE";"";"31.645";"7,81";"1";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"28.661";"7,08";"1";
"";"ALLEANZA VERDI E SINISTRA";"";"21.738";"5,37";"0";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"11.981";"2,96";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"60.111";"14,84";"1";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"33.560";"8,29";"1";
"";"LEGA PUGLIA";"";"29.424";"7,27";"1";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"1.894";"0,47";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"2.379";"0,59";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"504";"0,12";"0";
