"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"85.405";"63,89";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"22.742";"18,64";"3";
"";"DECARO PRESIDENTE";"";"15.392";"12,62";"1";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"14.428";"11,83";"1";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"8.322";"6,82";"0";
"";"MOVIMENTO 5 STELLE";"";"7.811";"6,40";"0";
"";"ALLEANZA VERDI E SINISTRA";"";"5.479";"4,49";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"19.649";"16,11";"2";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"17.342";"14,22";"1";
"";"LEGA PUGLIA";"";"8.533";"7,00";"0";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"1.572";"1,29";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"454";"0,37";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"124";"0,10";"0";
