"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"92.634";"65,82";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"40.040";"30,17";"2";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"13.215";"9,96";"0";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"11.315";"8,53";"0";
"";"DECARO PRESIDENTE";"";"9.856";"7,43";"1";
"";"MOVIMENTO 5 STELLE";"";"8.814";"6,64";"0";
"";"ALLEANZA VERDI E SINISTRA";"";"3.640";"2,74";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"26.242";"19,77";"2";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"9.658";"7,28";"0";
"";"LEGA PUGLIA";"";"8.545";"6,44";"0";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"605";"0,46";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"633";"0,48";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"157";"0,12";"0";
