"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"168.366";"53,68";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"73.333";"24,50";"2";
"";"DECARO PRESIDENTE";"";"28.692";"9,59";"1";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"19.611";"6,55";"1";
"";"MOVIMENTO 5 STELLE";"";"18.655";"6,23";"1";
"";"ALLEANZA VERDI E SINISTRA";"";"9.743";"3,26";"0";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"8.364";"2,79";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"76.697";"25,63";"2";
"";"LEGA PUGLIA";"";"32.401";"10,83";"1";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"25.322";"8,46";"1";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"3.392";"1,13";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"1.914";"0,64";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"433";"0,14";"0";
