"Candidati presidente e liste";"Voti";"%";"Sezioni pervenute";"Seggi";
"DECARO ANTONIO  ";"";"";"113.292";"59,34";"";"";"";"";
"";"PARTITO DEMOCRATICO - CANDIDATO PRESIDENTE DECARO";"";"41.884";"23,61";"2";
"";"DECARO PRESIDENTE";"";"21.836";"12,31";"1";
"";"PER LA PUGLIA DECARO CANDIDATO PRESIDENTE";"";"15.845";"8,93";"0";
"";"MOVIMENTO 5 STELLE";"";"12.354";"6,96";"1";
"";"ALLEANZA VERDI E SINISTRA";"";"7.080";"3,99";"0";
"";"AVANTI POPOLARI CON DECARO CANDIDATO PRESIDENTE";"";"3.923";"2,21";"0";
"";"FRATELLI D'ITALIA - GIORGIA MELONI";"";"34.761";"19,59";"2";
"";"FORZA ITALIA - BERLUSCONI - PPE - LOBUONO PRESIDENTE";"";"19.749";"11,13";"1";
"";"LEGA PUGLIA";"";"16.560";"9,33";"1";
"";"NOI MODERATI - CIVICI PER LOBUONO";"";"2.057";"1,16";"0";
"";"PUGLIA PACIFISTA E POPOLARE";"";"860";"0,48";"0";
"";"ALLEANZA CIVICA PER LA PUGLIA";"";"261";"0,15";"0";
